,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
0,level_2,level_5,level_0,level_1,1 Mainstream,5000000.0,success,1,Information Technology,1111.0,0.0,9,North America
1,level_1,level_1,level_0,level_2,1000 Markets,500000.0,success,1,Media & Publishing,134.0,0.0,12,North America
2,level_2,level_0,level_2,level_1,1000memories,2535000.0,success,2,Information Technology,0.0,411.0,11,North America
3,level_1,level_1,level_2,level_1,100Plus,1250000.0,success,2,Data Science,47.0,28.0,10,North America
4,level_5,level_7,level_0,level_7,1010data,35000000.0,success,1,Information Technology,3719.0,0.0,21,North America
5,level_1,level_0,level_0,level_2,10BestThings,50000.0,failure,1,Information Technology,0.0,0.0,12,North America
6,level_6,level_1,level_0,level_1,12Society,38730470.0,success,1,Commerce & Marketing,95.0,0.0,9,North America
7,level_1,level_1,level_0,level_2,169 ST.,50000.0,failure,1,Media & Publishing,17.0,0.0,12,North America
8,level_5,level_8,level_0,level_7,170 Systems,14000000.0,success,1,Information Technology,4488.0,0.0,31,North America
9,level_2,level_2,level_0,level_2,One Block Off the Grid (1BOG),5000000.0,failure,1,Information Technology,467.0,0.0,13,North America
10,level_6,level_5,level_0,level_3,1Cast,38730470.0,failure,1,Media & Publishing,803.0,0.0,15,North America
11,level_1,level_0,level_0,level_2,1DayMakeover,50000.0,failure,1,Consumer Goods,0.0,0.0,13,North America
12,level_2,level_2,level_4,level_1,1DocWay,1700000.0,success,2,Health Care & Biotechnology,190.0,1441.0,10,North America
13,level_1,level_2,level_0,level_1,2100b Sausalito LLC.,50000.0,failure,2,Media & Publishing,566.0,0.0,10,North America
14,level_5,level_8,level_4,level_7,22nd Century Group,15034750.0,success,6,Health Care & Biotechnology,4744.0,1360.0,23,North America
15,level_1,level_2,level_0,level_1,24PageBooks,50000.0,failure,1,Information Technology,508.0,0.0,11,North America
16,level_1,level_0,level_0,level_1,27 Perry,118000.0,failure,1,Commerce & Marketing,0.0,0.0,9,North America
17,level_2,level_5,level_0,level_1,2lemetry,4000000.0,success,1,Information Technology,1226.0,0.0,10,North America
18,level_7,level_7,level_0,level_7,"2nd Story Software, Inc.",85000000.0,success,1,Information Technology,2600.0,0.0,23,North America
19,level_8,level_2,level_4,level_2,2U Inc.,95875000.0,success,6,Information Technology,449.0,1671.0,13,North America
20,level_6,level_8,level_0,level_8,3 day Blinds,38730470.0,success,1,Design & Platforms,5185.0,0.0,37,North America
21,level_1,level_0,level_2,level_1,3ClickEMR Corporation,500000.0,failure,2,Electronics,0.0,343.0,11,North America
22,level_2,level_0,level_4,level_1,XDN/3Crowd Technologies,7289000.0,success,3,Information Technology,0.0,922.0,11,North America
23,level_1,level_2,level_3,level_1,3D FUTURE VISION II,503000.0,failure,2,Game & Applications,172.0,638.0,10,North America
24,level_8,level_8,level_2,level_8,3D Systems,169500000.0,success,3,Information Technology,10241.0,271.0,35,North America
25,level_2,level_1,level_3,level_1,Nimble VR,2249999.0,success,2,Information Technology,89.0,733.0,9,North America
